"Date","Price","Open","High","Low","Change %"
"Mar 24, 2020","1.1731","1.1595","1.1790","1.1581","1.56%"
"Mar 23, 2020","1.1550","1.1660","1.1741","1.1446","-0.79%"
"Mar 20, 2020","1.1643","1.1487","1.1934","1.1409","1.35%"
"Mar 19, 2020","1.1487","1.1619","1.1794","1.1473","-1.04%"
"Mar 18, 2020","1.1608","1.2116","1.2129","1.1466","-3.69%"
"Mar 17, 2020","1.2052","1.2268","1.2275","1.2002","-1.76%"
"Mar 16, 2020","1.2268","1.2285","1.2431","1.2201","-0.07%"
"Mar 13, 2020","1.2277","1.2573","1.2626","1.2267","-2.35%"
"Mar 12, 2020","1.2573","1.2818","1.2851","1.2490","-1.94%"
"Mar 11, 2020","1.2822","1.2905","1.2978","1.2805","-0.67%"
"Mar 10, 2020","1.2908","1.3130","1.3134","1.2881","-1.71%"
"Mar 09, 2020","1.3133","1.3047","1.3201","1.3031","0.64%"
"Mar 06, 2020","1.3050","1.2954","1.3058","1.2943","0.73%"
"Mar 05, 2020","1.2955","1.2872","1.2970","1.2859","0.64%"
"Mar 04, 2020","1.2872","1.2812","1.2873","1.2770","0.47%"
"Mar 03, 2020","1.2812","1.2752","1.2845","1.2738","0.47%"
"Mar 02, 2020","1.2752","1.2801","1.2852","1.2740","-0.54%"
"Feb 28, 2020","1.2821","1.2884","1.2920","1.2725","-0.50%"
"Feb 27, 2020","1.2886","1.2907","1.2948","1.2859","-0.15%"
"Feb 26, 2020","1.2905","1.3006","1.3013","1.2896","-0.78%"
"Feb 25, 2020","1.3006","1.2924","1.3019","1.2914","0.60%"
"Feb 24, 2020","1.2929","1.2960","1.2973","1.2886","-0.32%"